sigla;nome;cred_aula;cred_trabalho;ch_total
ACH4031;Introdução à Química I;2;0;30
ACH4032;Introdução à Química II;2;0;30
ACH3551;Introdução à Sociologia;4;0;60
ACH2897;Introdução à Sociologia da Arte;2;0;30
ACH2043;Introdução à Teoria da Computação;4;0;60
ACH2043;Introdução à Teoria da Computação;4;0;60
ACH4113;Introdução à Termodinâmica;2;0;30
ACH3511;Introdução ao Estudo da Política;4;0;60
ACH3561;Introdução ao Estudo de Políticas Públicas;4;0;60
ACH3501;Introdução ao Estudo de Políticas Públicas I;4;0;60
ACH3502;Introdução ao Estudo de Políticas Públicas II;4;0;60
ACH2728;Introdução ao Figurino;2;0;30
ACH1084;Introdução ao Geoprocessamento;2;0;30
ACH2118;Introdução ao Processamento de Língua Natural;4;2;120
ACH4011;Introdução aos Estudos da Educação;4;0;60
ACH2738;Introdução aos Sistemas Complexos;2;0;30
ACH2808;Introdução aos Têxteis Eletrônicos e Dispositivos Vestíveis (e-textiles e wearables);4;2;120
ACH2128;Introdução às Redes Complexas;4;0;60
ACH1504;Inventários de Lazer e Turismo;4;0;60
ACH3063;Investigação Científica em Gerontologia;2;2;90
ACH1637;Investigações e Reflexões sobre Educação Não Formal;2;2;90
ACH2025;Laboratório de Bancos de Dados;4;2;120
ACH4528;Laboratório de Criatividade de Marketing;2;0;30
ACH4053;Laboratório de Física;4;0;60
ACH1546;Laboratório de Hotelaria;4;2;120
ACH4186;Laboratório de Mídia, Lazer e Educação nas Culturas Infantis;4;1;90
ACH2148;Laboratório de Otimização Combinatória;4;0;60
ACH4054;Laboratório de Química;4;0;60
ACH2038;Laboratório de Redes de Computadores;4;2;120
ACH2096;Laboratório de Sistemas Operacionais;4;0;60
ACH0594;Lazer, Atividade Física e Saúde;2;0;30
ACH1574;Lazer, Turismo e Desenvolvimento Socioeconômico;4;0;60
ACH1514;Lazer, Turismo e Meio Ambiente;4;0;60
ACH4024;Linguagem Química e Reações Químicas;4;0;60
